tool1,tool2,delta_IC,delta_FlipScore,delta_MeanPairwiseID,delta_Mismatch,delta_Match,label
tcoffee,muscle,-0.007783000000000095,-0.02608699999999997,-0.0035840000000000316,0.0032260000000000066,-0.0032250000000000334,1
muscle,mafft,0.015039000000000025,-0.010870000000000046,0.011470000000000091,-0.0064519999999999855,0.0064510000000000955,1
muscle,clustal,0.003462000000000076,-0.009783000000000097,-0.0009559999999999569,0.0010750000000000065,-0.0010759999999999659,0
muscle,tcoffee,0.007783000000000095,0.02608699999999997,0.0035840000000000316,-0.0032260000000000066,0.0032250000000000334,0
mafft,clustal,0.01838699999999993,0.0027850000000000374,0.005238999999999994,-0.0008769999999999889,-0.008558999999999983,1
mafft,tcoffee,-0.02841300000000002,0.011532000000000098,0.00882000000000005,0.0026750000000000107,0.0065470000000000805,0
mafft,muscle,0.03831600000000002,-0.010077000000000003,-0.036633999999999944,-0.005573999999999996,-0.04390799999999995,1
clustal,mafft,-0.01838699999999993,-0.0027850000000000374,-0.005238999999999994,0.0008769999999999889,0.008558999999999983,0
clustal,tcoffee,-0.04679999999999995,0.00874700000000006,0.0035810000000000564,0.0035519999999999996,0.015106000000000064,0
clustal,muscle,0.019929000000000086,-0.01286200000000004,-0.04187299999999994,-0.004697000000000007,-0.035348999999999964,1
tcoffee,mafft,0.02841300000000002,-0.011532000000000098,-0.00882000000000005,-0.0026750000000000107,-0.0065470000000000805,1
tcoffee,clustal,0.04679999999999995,-0.00874700000000006,-0.0035810000000000564,-0.0035519999999999996,-0.015106000000000064,1
tcoffee,muscle,0.06672900000000004,-0.0216090000000001,-0.045453999999999994,-0.008249000000000006,-0.05045500000000003,1
muscle,mafft,-0.03831600000000002,0.010077000000000003,0.036633999999999944,0.005573999999999996,0.04390799999999995,0
muscle,clustal,-0.019929000000000086,0.01286200000000004,0.04187299999999994,0.004697000000000007,0.035348999999999964,0
muscle,tcoffee,-0.06672900000000004,0.0216090000000001,0.045453999999999994,0.008249000000000006,0.05045500000000003,0
mafft,clustal,-0.032204999999999984,0.011987999999999999,-0.010569999999999968,0.019891999999999993,-0.02823500000000001,1
mafft,tcoffee,-0.15530299999999997,0.03805999999999998,-0.023309999999999942,0.061388,-0.021952000000000083,0
mafft,muscle,-0.0002869999999999817,-0.010911999999999922,-0.028576999999999964,0.005185999999999996,-0.030704000000000065,1
clustal,mafft,0.032204999999999984,-0.011987999999999999,0.010569999999999968,-0.019891999999999993,0.02823500000000001,0
clustal,tcoffee,-0.12309799999999999,0.026071999999999984,-0.012739999999999974,0.041496000000000005,0.0062829999999999275,0
clustal,muscle,0.031918,-0.02289999999999992,-0.018006999999999995,-0.014705999999999997,-0.0024690000000000545,1
tcoffee,mafft,0.15530299999999997,-0.03805999999999998,0.023309999999999942,-0.061388,0.021952000000000083,1
tcoffee,clustal,0.12309799999999999,-0.026071999999999984,0.012739999999999974,-0.041496000000000005,-0.0062829999999999275,1
tcoffee,muscle,0.155016,-0.048971999999999904,-0.005267000000000022,-0.056202,-0.008751999999999982,1
muscle,mafft,0.0002869999999999817,0.010911999999999922,0.028576999999999964,-0.005185999999999996,0.030704000000000065,0
muscle,clustal,-0.031918,0.02289999999999992,0.018006999999999995,0.014705999999999997,0.0024690000000000545,0
muscle,tcoffee,-0.155016,0.048971999999999904,0.005267000000000022,0.056202,0.008751999999999982,0
mafft,clustal,0.0017639999999999878,0.0010189999999999921,0.0005899999999999794,-0.0005070000000000074,0.0005060000000000064,0
mafft,tcoffee,-0.0012800000000000589,0.0066230000000000455,-0.0008439999999999559,0.001011999999999999,-0.0010120000000000129,0
