tool1,tool2,delta_IC,delta_FlipScore,delta_MeanPairwiseID,delta_Mismatch,delta_Match,label
clustal,muscle,-0.010248000000000035,0.006249999999999978,-0.0032919999999999616,0.0020580000000000043,-0.0020580000000000043,1
tcoffee,mafft,0.019630999999999954,0.004218999999999973,0.010000000000000009,-0.008333000000000007,0.008332999999999924,0
tcoffee,clustal,-0.016202999999999967,0.01824899999999996,0.0023969999999999825,0.008076,0.003626999999999936,1
tcoffee,muscle,-0.026451000000000002,0.024498999999999937,-0.0008949999999999791,0.010134000000000004,0.0015689999999999316,1
muscle,mafft,0.046081999999999956,-0.020279999999999965,0.010894999999999988,-0.01846700000000001,0.006763999999999992,0
muscle,clustal,0.010248000000000035,-0.006249999999999978,0.0032919999999999616,-0.0020580000000000043,0.0020580000000000043,0
muscle,tcoffee,0.026451000000000002,-0.024498999999999937,0.0008949999999999791,-0.010134000000000004,-0.0015689999999999316,0
mafft,clustal,-0.034413,0.030379000000000045,-0.01117199999999996,0.005885000000000001,-0.013977999999999935,1
mafft,tcoffee,-0.024111999999999995,0.031162000000000023,-0.021606999999999932,-0.00727899999999998,-0.026085999999999943,1
mafft,muscle,-0.011564999999999992,0.02850700000000006,-0.022355000000000014,-0.008283999999999986,-0.02508099999999991,1
clustal,mafft,0.034413,-0.030379000000000045,0.01117199999999996,-0.005885000000000001,0.013977999999999935,0
clustal,tcoffee,0.010301000000000005,0.0007829999999999782,-0.010434999999999972,-0.013163999999999981,-0.012108000000000008,0
clustal,muscle,0.022848000000000007,-0.0018719999999999848,-0.011183000000000054,-0.014168999999999987,-0.011102999999999974,1
tcoffee,mafft,0.024111999999999995,-0.031162000000000023,0.021606999999999932,0.00727899999999998,0.026085999999999943,0
tcoffee,clustal,-0.010301000000000005,-0.0007829999999999782,0.010434999999999972,0.013163999999999981,0.012108000000000008,1
tcoffee,muscle,0.012547000000000003,-0.002654999999999963,-0.0007480000000000819,-0.0010050000000000059,0.0010050000000000336,1
muscle,mafft,0.011564999999999992,-0.02850700000000006,0.022355000000000014,0.008283999999999986,0.02508099999999991,0
muscle,clustal,-0.022848000000000007,0.0018719999999999848,0.011183000000000054,0.014168999999999987,0.011102999999999974,0
muscle,tcoffee,-0.012547000000000003,0.002654999999999963,0.0007480000000000819,0.0010050000000000059,-0.0010050000000000336,0
mafft,clustal,-0.06883800000000007,-0.006161000000000083,0.00344899999999998,0.021657999999999997,0.005294000000000021,0
mafft,tcoffee,0.01695099999999994,0.024019000000000013,-0.034407000000000076,-0.004583000000000004,-0.02936899999999998,0
mafft,muscle,-0.011824000000000057,0.05735199999999996,-0.04974400000000001,0.0064599999999999935,-0.040412000000000003,1
clustal,mafft,0.06883800000000007,0.006161000000000083,-0.00344899999999998,-0.021657999999999997,-0.005294000000000021,1
clustal,tcoffee,0.085789,0.030180000000000096,-0.037856000000000056,-0.026241,-0.034663,0
clustal,muscle,0.05701400000000001,0.06351300000000004,-0.05319299999999999,-0.015198000000000003,-0.045706000000000024,1
tcoffee,mafft,-0.01695099999999994,-0.024019000000000013,0.034407000000000076,0.004583000000000004,0.02936899999999998,1
tcoffee,clustal,-0.085789,-0.030180000000000096,0.037856000000000056,0.026241,0.034663,1
tcoffee,muscle,-0.028774999999999995,0.033332999999999946,-0.015336999999999934,0.011042999999999997,-0.011043000000000025,1
muscle,mafft,0.011824000000000057,-0.05735199999999996,0.04974400000000001,-0.0064599999999999935,0.040412000000000003,0
muscle,clustal,-0.05701400000000001,-0.06351300000000004,0.05319299999999999,0.015198000000000003,0.045706000000000024,0
muscle,tcoffee,0.028774999999999995,-0.033332999999999946,0.015336999999999934,-0.011042999999999997,0.011043000000000025,0
mafft,clustal,-0.011576999999999948,0.0010869999999999491,-0.012426000000000048,0.007526999999999992,-0.007527000000000061,0
