tool1,tool2,delta_IC,delta_FlipScore,delta_MeanPairwiseID,delta_Mismatch,delta_Match,label
muscle,mafft,0.24807200000000001,-0.25837600000000005,0.039356999999999975,0.009621999999999992,0.03533400000000003,0
muscle,clustal,0.102924,-0.20049899999999998,0.017606999999999984,-0.008562000000000014,0.0031019999999999937,0
muscle,tcoffee,0.28491900000000003,-0.17149599999999998,-0.14184000000000002,-0.078876,-0.16682200000000003,0
mafft,clustal,-0.08681299999999999,0.18023100000000003,-0.044614,-0.059188000000000004,-0.06361499999999998,1
mafft,tcoffee,0.38228400000000007,0.13684700000000005,-0.203202,-0.208189,-0.246808,0
mafft,muscle,0.292096,0.12385299999999999,-0.15445400000000004,-0.160823,-0.189449,1
clustal,mafft,0.08681299999999999,-0.18023100000000003,0.044614,0.059188000000000004,0.06361499999999998,0
clustal,tcoffee,0.46909700000000004,-0.04338399999999998,-0.15858799999999998,-0.149001,-0.18319300000000002,0
clustal,muscle,0.378909,-0.05637800000000004,-0.10984000000000002,-0.10163499999999998,-0.12583400000000003,1
tcoffee,mafft,-0.38228400000000007,-0.13684700000000005,0.203202,0.208189,0.246808,1
tcoffee,clustal,-0.46909700000000004,0.04338399999999998,0.15858799999999998,0.149001,0.18319300000000002,1
tcoffee,muscle,-0.09018800000000005,-0.012994000000000061,0.04874799999999996,0.04736600000000002,0.05735899999999999,1
muscle,mafft,-0.292096,-0.12385299999999999,0.15445400000000004,0.160823,0.189449,0
muscle,clustal,-0.378909,0.05637800000000004,0.10984000000000002,0.10163499999999998,0.12583400000000003,0
muscle,tcoffee,0.09018800000000005,0.012994000000000061,-0.04874799999999996,-0.04736600000000002,-0.05735899999999999,0
mafft,clustal,0.139183,0.027498000000000022,-0.030110000000000026,-0.014401999999999998,-0.06069600000000003,1
mafft,tcoffee,0.18697,0.029653999999999958,-0.08959500000000004,-0.066249,-0.09467500000000001,1
mafft,muscle,-0.179082,0.12411300000000003,0.019228999999999996,0.02302499999999999,0.022033999999999998,1
clustal,mafft,-0.139183,-0.027498000000000022,0.030110000000000026,0.014401999999999998,0.06069600000000003,0
clustal,tcoffee,0.047786999999999996,0.0021559999999999357,-0.05948500000000001,-0.051847000000000004,-0.03397899999999998,1
clustal,muscle,-0.318265,0.096615,0.04933900000000002,0.03742699999999999,0.08273000000000003,1
tcoffee,mafft,-0.18697,-0.029653999999999958,0.08959500000000004,0.066249,0.09467500000000001,0
tcoffee,clustal,-0.047786999999999996,-0.0021559999999999357,0.05948500000000001,0.051847000000000004,0.03397899999999998,0
tcoffee,muscle,-0.366052,0.09445900000000007,0.10882400000000003,0.08927399999999999,0.11670900000000001,1
muscle,mafft,0.179082,-0.12411300000000003,-0.019228999999999996,-0.02302499999999999,-0.022033999999999998,0
muscle,clustal,0.318265,-0.096615,-0.04933900000000002,-0.03742699999999999,-0.08273000000000003,0
muscle,tcoffee,0.366052,-0.09445900000000007,-0.10882400000000003,-0.08927399999999999,-0.11670900000000001,0
mafft,clustal,0.059105000000000005,0.07275399999999999,-0.076657,-0.052071000000000006,-0.09537299999999999,0
mafft,tcoffee,0.322337,0.11059200000000002,-0.177851,-0.116981,-0.20782499999999998,0
mafft,muscle,0.272166,0.127946,-0.158919,-0.108592,-0.18538899999999997,1
clustal,mafft,-0.059105000000000005,-0.07275399999999999,0.076657,0.052071000000000006,0.09537299999999999,1
clustal,tcoffee,0.26323199999999997,0.03783800000000004,-0.101194,-0.06491,-0.112452,1
clustal,muscle,0.213061,0.05519200000000002,-0.082262,-0.05652099999999999,-0.09001599999999998,1
tcoffee,mafft,-0.322337,-0.11059200000000002,0.177851,0.116981,0.20782499999999998,1
tcoffee,clustal,-0.26323199999999997,-0.03783800000000004,0.101194,0.06491,0.112452,0
tcoffee,muscle,-0.050170999999999966,0.01735399999999998,0.018932000000000004,0.008389000000000008,0.02243600000000001,1
muscle,mafft,-0.272166,-0.127946,0.158919,0.108592,0.18538899999999997,0
muscle,clustal,-0.213061,-0.05519200000000002,0.082262,0.05652099999999999,0.09001599999999998,0
muscle,tcoffee,0.050170999999999966,-0.01735399999999998,-0.018932000000000004,-0.008389000000000008,-0.02243600000000001,0
mafft,clustal,-0.04375999999999999,-0.0032400000000000206,-0.017984999999999973,-0.00418300000000002,-0.02729200000000004,1
mafft,tcoffee,0.140129,0.027527999999999997,-0.10264200000000001,-0.046151,-0.120483,1
mafft,muscle,-0.154758,0.11558999999999997,0.023197000000000023,0.01899099999999998,0.02202499999999996,1
clustal,mafft,0.04375999999999999,0.0032400000000000206,0.017984999999999973,0.00418300000000002,0.02729200000000004,0
clustal,tcoffee,0.183889,0.030768000000000018,-0.08465700000000004,-0.04196799999999998,-0.09319099999999997,1
clustal,muscle,-0.11099800000000001,0.11882999999999999,0.041181999999999996,0.023174,0.049317,1
tcoffee,mafft,-0.140129,-0.027527999999999997,0.10264200000000001,0.046151,0.120483,0
tcoffee,clustal,-0.183889,-0.030768000000000018,0.08465700000000004,0.04196799999999998,0.09319099999999997,0
tcoffee,muscle,-0.294887,0.08806199999999997,0.12583900000000003,0.06514199999999998,0.14250799999999997,1
muscle,mafft,0.154758,-0.11558999999999997,-0.023197000000000023,-0.01899099999999998,-0.02202499999999996,0
muscle,clustal,0.11099800000000001,-0.11882999999999999,-0.041181999999999996,-0.023174,-0.049317,0
muscle,tcoffee,0.294887,-0.08806199999999997,-0.12583900000000003,-0.06514199999999998,-0.14250799999999997,0
mafft,clustal,-0.018413,0.04532599999999998,0.00328700000000004,0.007350999999999996,0.0015439999999999898,1
mafft,tcoffee,0.059156999999999994,0.02762500000000001,-0.05629600000000001,-0.027350000000000013,-0.06656600000000001,1
mafft,muscle,-0.20277,0.17973899999999998,0.061758000000000035,0.04505000000000001,0.07673199999999997,1
clustal,mafft,0.018413,-0.04532599999999998,-0.00328700000000004,-0.007350999999999996,-0.0015439999999999898,0
clustal,tcoffee,0.07757,-0.017700999999999967,-0.05958300000000005,-0.03470100000000001,-0.06811,1
clustal,muscle,-0.184357,0.134413,0.058470999999999995,0.03769900000000001,0.07518799999999998,1
tcoffee,mafft,-0.059156999999999994,-0.02762500000000001,0.05629600000000001,0.027350000000000013,0.06656600000000001,0
tcoffee,clustal,-0.07757,0.017700999999999967,0.05958300000000005,0.03470100000000001,0.06811,0
tcoffee,muscle,-0.261927,0.15211399999999997,0.11805400000000005,0.07240000000000002,0.14329799999999998,1
muscle,mafft,0.20277,-0.17973899999999998,-0.061758000000000035,-0.04505000000000001,-0.07673199999999997,0
muscle,clustal,0.184357,-0.134413,-0.058470999999999995,-0.03769900000000001,-0.07518799999999998,0
muscle,tcoffee,0.261927,-0.15211399999999997,-0.11805400000000005,-0.07240000000000002,-0.14329799999999998,0
mafft,clustal,0.00700400000000001,-0.006977000000000011,0.0034489999999999243,-0.0022989999999999955,0.002299000000000051,0
mafft,tcoffee,0.0010270000000000001,0.0,-0.0011490000000000666,0.0,0.0,1
mafft,muscle,-0.03509499999999999,0.0028599999999999737,-0.005198000000000036,0.012226,-0.0010449999999999626,1
clustal,mafft,-0.00700400000000001,0.006977000000000011,-0.0034489999999999243,0.0022989999999999955,-0.002299000000000051,1
clustal,tcoffee,-0.00597700000000001,0.006977000000000011,-0.004597999999999991,0.0022989999999999955,-0.002299000000000051,1
clustal,muscle,-0.042099,0.009836999999999985,-0.00864699999999996,0.014524999999999996,-0.0033440000000000136,1
tcoffee,mafft,-0.0010270000000000001,0.0,0.0011490000000000666,0.0,0.0,0
tcoffee,clustal,0.00597700000000001,-0.006977000000000011,0.004597999999999991,-0.0022989999999999955,0.002299000000000051,0
tcoffee,muscle,-0.03612199999999999,0.0028599999999999737,-0.004048999999999969,0.012226,-0.0010449999999999626,1
muscle,mafft,0.03509499999999999,-0.0028599999999999737,0.005198000000000036,-0.012226,0.0010449999999999626,0
muscle,clustal,0.042099,-0.009836999999999985,0.00864699999999996,-0.014524999999999996,0.0033440000000000136,0
muscle,tcoffee,0.03612199999999999,-0.0028599999999999737,0.004048999999999969,-0.012226,0.0010449999999999626,0
